Check Number        Amount              Date
467718              2.0                 01/04
467720              1.77                01/18
467721              6.64                01/04
467722              3.34                01/03
467723              4.99                01/13
467724              43.87               01/05
467725              1.92                01/04
467726              77.47               01/11
467727              6.24                01/03
467728              1.65                01/19
467730              29.29               01/03
467735              50.0                01/05
467738              1.0                 01/12
467739              5.31                01/10
467742              20.5                01/10
467743              7.04                01/11
467744              55.05               01/04
467746              161.69              01/10
467748              200.18              01/04
467749              38.44               01/04
467750              137.37              01/06
467751              2000.0              01/04
467752              60.0                01/04
467753              175.78              01/10
467756              90.0                01/17
467757              128.45              01/17
467758              999.86              01/12
467759              842.05              01/10
467760              10.0                01/12
467762              495.0               01/11
467763              486.06              01/18
467764              47.01               01/18
467765              175.21              01/18
467766              181.4               01/04
467767              2100.0              01/03
467768              1953.0              01/04
467769              8380.48             01/03
467770              4000.0              01/03
467771              7200.0              01/03
467772              1737.26             01/03
467773              4005.28             01/03
467774              820.0               01/03
467775              540.0               01/03
467776              1100.0              01/03
467777              2950.54             01/03
467778              5996.71             01/03
467779              1445.4              01/04
467780              6000.0              01/03
467781              10000.0             01/03
467782              1400.0              01/03
467783              3700.0              01/03
467784              4000.0              01/03
467785              4000.0              01/03
467786              9000.0              01/05
467787              4000.0              01/04
467788              5000.0              01/03
467789              2300.0              01/03
467790              10500.0             01/03
467791              6973.05             01/03
467792              4801.55             01/03
467793              7591.3              01/03
467794              6000.0              01/04
467795              6500.0              01/03
467796              14000.0             01/04
467797              11369.41            01/04
467798              500.0               01/03
467799              2000.0              01/03
467800              1670.0              01/03
467801              2550.0              01/03
467802              2570.0              01/03
467803              500.0               01/03
467804              1699.0              01/03
467805              5000.0              01/03
467807              500.0               01/04
467808              1500.0              01/03
467809              499.0               01/03
467810              2030.0              01/03
467811              1611.0              01/04
467826              5909.51             01/05
467839              1392.22             01/06
467841              5877.45             01/11
467845              8000.0              01/04
467862              261.68              01/09
467869              4600.0              01/06
467875              1000.0              01/11
467880              1718.91             01/03
467885              827.62              01/10
467886              2540.66             01/17
467889              3000.0              01/12
467894              4198.31             01/09
467898              3095.81             01/06
467902              2253.19             01/06
467904              595.64              01/04
467909              4262.81             01/17
467912              1015.26             01/10
467932              1884.06             01/10
467933              4179.09             01/11
467934              2395.08             01/11
467935              9700.0              01/10
467936              5000.0              01/05
467939              2609.0              01/05
467941              5500.0              01/09
467944              2482.64             01/06
467946              2592.0              01/05
467948              1485.0              01/10
467951              1987.92             01/05
467953              800.0               01/12
467956              518.64              01/11
467957              4842.19             01/11
467969              7000.0              01/11
467974              5000.0              01/06
467976              2732.85             01/10
467979              3800.0              01/04
467991              1097.0              01/05
467992              700.0               01/10
467994              700.0               01/09
468004              2700.0              01/06
468007              2400.0              01/09
468008              294.58              01/09
468013              5074.97             01/11
468015              1600.0              01/10
468022              7862.67             01/11
468023              1960.36             01/12
468024              936.0               01/09
468025              1310.0              01/09
468040              3000.0              01/06
468051              7500.0              01/06
468053              3465.0              01/11
468057              4000.0              01/04
468062              2500.0              01/04
468063              2428.28             01/11
468066              600.0               01/09
468067              5079.54             01/11
468068              7488.25             01/06
468069              1400.0              01/06
468072              576.52              01/09
468084              7840.0              01/06
468087              1000.0              01/10
468094              3465.0              01/04
468096              4200.0              01/06
